Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long01,90.0,0.1,900,785.0
long01,80.0,0.1,800,764.0
long01,70.0,0.1,700,760.0
long01,60.0,0.1,600,766.0
long01,50.0,0.1,500,781.0
long01,40.0,0.1,400,776.0
long01,30.0,0.1,300,767.0
long01,20.0,0.1,200,770.0
long01,10.0,0.1,100,779.0
long01,10.0,0.01,1000,764.0
long01,10.0,0.009000000000000001,1111,779.0
long01,10.0,0.008,1250,778.0
long01,10.0,0.007,1428,768.0
long01,10.0,0.006,1666,767.0
long01,10.0,0.005,2000,765.0
long01,10.0,0.004,2500,759.0
long01,10.0,0.003,3333,767.0
long01,10.0,0.002,5000,762.0
long01,10.0,0.001,10000,757.0
long01,10.0,0.01,1000,772.0
long01,9.0,0.01,900,777.0
long01,8.0,0.01,800,774.0
long01,7.0,0.01,700,778.0
long01,6.0,0.01,600,768.0
long01,5.0,0.01,500,780.0
long01,4.0,0.01,400,786.0
long01,3.0,0.01,300,778.0
long01,2.0,0.01,200,792.0
long01,1.0,0.01,100,789.0
long_hidden01,10000.0,10.0,1000,3415.0
long_hidden01,10000.0,9.0,1111,3547.0
long_hidden01,10000.0,8.0,1250,3523.0
long_hidden01,10000.0,7.0,1428,3552.0
long_hidden01,10000.0,6.0,1666,3562.0
long_hidden01,10000.0,5.0,2000,3558.0
long_hidden01,10000.0,4.0,2500,3455.0
long_hidden01,10000.0,3.0,3333,3416.0
long_hidden01,10000.0,2.0,5000,3439.0
long_hidden01,10000.0,1.0,10000,3363.0
long_hidden01,10000.0,10.0,1000,3563.0
long_hidden01,9000.0,10.0,900,3619.0
long_hidden01,8000.0,10.0,800,3546.0
long_hidden01,7000.0,10.0,700,3573.0
long_hidden01,6000.0,10.0,600,3600.0
long_hidden01,5000.0,10.0,500,3521.0
long_hidden01,4000.0,10.0,400,3540.0
long_hidden01,3000.0,10.0,300,3565.0
long_hidden01,2000.0,10.0,200,3614.0
long_hidden01,1000.0,10.0,100,3731.0
long_hidden01,5000.0,5.0,1000,3331.0
long_hidden01,5000.0,4.5,1111,3454.0
long_hidden01,5000.0,4.0,1250,3553.0
long_hidden01,5000.0,3.5,1428,3542.0
long_hidden01,5000.0,3.0,1666,3487.0
long_hidden01,5000.0,2.5,2000,3526.0
long_hidden01,5000.0,2.0,2500,3464.0
long_hidden01,5000.0,1.5,3333,3426.0
long_hidden01,5000.0,1.0,5000,3463.0
long_hidden01,5000.0,0.5,10000,3361.0
long_hidden01,5000.0,5.0,1000,3545.0
long_hidden01,4500.0,5.0,900,3613.0
long_hidden01,4000.0,5.0,800,3557.0
long_hidden01,3500.0,5.0,700,3585.0
long_hidden01,3000.0,5.0,600,3533.0
long_hidden01,2500.0,5.0,500,3487.0
long_hidden01,2000.0,5.0,400,3545.0
long_hidden01,1500.0,5.0,300,3597.0
long_hidden01,1000.0,5.0,200,3632.0
long_hidden01,500.0,5.0,100,3576.0
long_hidden01,1000.0,1.0,1000,3390.0
long_hidden01,1000.0,0.9,1111,3466.0
long_hidden01,1000.0,0.8,1250,3567.0
long_hidden01,1000.0,0.7000000000000001,1428,3572.0
long_hidden01,1000.0,0.6000000000000001,1666,3567.0
long_hidden01,1000.0,0.5000000000000001,1999,3468.0
long_hidden01,1000.0,0.40000000000000013,2499,3510.0
long_hidden01,1000.0,0.30000000000000016,3333,3497.0
long_hidden01,1000.0,0.20000000000000015,4999,3468.0
long_hidden01,1000.0,0.10000000000000014,9999,3373.0
long_hidden01,1000.0,1.0,1000,3607.0
long_hidden01,900.0,1.0,900,3593.0
long_hidden01,800.0,1.0,800,3482.0
long_hidden01,700.0,1.0,700,3590.0
long_hidden01,600.0,1.0,600,3665.0
long_hidden01,500.0,1.0,500,3508.0
long_hidden01,400.0,1.0,400,3628.0
long_hidden01,300.0,1.0,300,3645.0
long_hidden01,200.0,1.0,200,3506.0
long_hidden01,100.0,1.0,100,3556.0
long_hidden01,500.0,0.5,1000,3363.0
long_hidden01,500.0,0.45,1111,3502.0
long_hidden01,500.0,0.4,1250,3482.0
long_hidden01,500.0,0.35000000000000003,1428,3446.0
long_hidden01,500.0,0.30000000000000004,1666,3455.0
long_hidden01,500.0,0.25000000000000006,1999,3438.0
long_hidden01,500.0,0.20000000000000007,2499,3476.0
long_hidden01,500.0,0.15000000000000008,3333,3429.0
long_hidden01,500.0,0.10000000000000007,4999,3454.0
long_hidden01,500.0,0.05000000000000007,9999,3361.0
long_hidden01,500.0,0.5,1000,3383.0
long_hidden01,450.0,0.5,900,3463.0
long_hidden01,400.0,0.5,800,3525.0
long_hidden01,350.0,0.5,700,3696.0
long_hidden01,300.0,0.5,600,3579.0
long_hidden01,250.0,0.5,500,3515.0
long_hidden01,200.0,0.5,400,3620.0
long_hidden01,150.0,0.5,300,3575.0
long_hidden01,100.0,0.5,200,3670.0
long_hidden01,50.0,0.5,100,3645.0
long_hidden01,100.0,0.1,1000,3435.0
long_hidden01,100.0,0.09000000000000001,1111,3563.0
long_hidden01,100.0,0.08000000000000002,1249,3443.0
long_hidden01,100.0,0.07000000000000002,1428,3508.0
long_hidden01,100.0,0.06000000000000002,1666,3501.0
long_hidden01,100.0,0.05000000000000002,1999,3499.0
long_hidden01,100.0,0.040000000000000015,2499,3451.0
long_hidden01,100.0,0.030000000000000013,3333,3479.0
long_hidden01,100.0,0.02000000000000001,4999,3409.0
long_hidden01,100.0,0.01000000000000001,9999,3376.0
long_hidden01,100.0,0.1,1000,3519.0
long_hidden01,90.0,0.1,900,3573.0
long_hidden01,80.0,0.1,800,3538.0
long_hidden01,70.0,0.1,700,3642.0
long_hidden01,60.0,0.1,600,3628.0
long_hidden01,50.0,0.1,500,3582.0
long_hidden01,40.0,0.1,400,3634.0
long_hidden01,30.0,0.1,300,3620.0
long_hidden01,20.0,0.1,200,3640.0
long_hidden01,10.0,0.1,100,3639.0
long_hidden01,10.0,0.01,1000,3392.0
long_hidden01,10.0,0.009000000000000001,1111,3535.0
long_hidden01,10.0,0.008,1250,3484.0
long_hidden01,10.0,0.007,1428,3463.0
long_hidden01,10.0,0.006,1666,3440.0
long_hidden01,10.0,0.005,2000,3501.0
long_hidden01,10.0,0.004,2500,3427.0
long_hidden01,10.0,0.003,3333,3430.0
long_hidden01,10.0,0.002,5000,3432.0
long_hidden01,10.0,0.001,10000,3351.0
long_hidden01,10.0,0.01,1000,3559.0
long_hidden01,9.0,0.01,900,3562.0
long_hidden01,8.0,0.01,800,3636.0
long_hidden01,7.0,0.01,700,3502.0
long_hidden01,6.0,0.01,600,3552.0
long_hidden01,5.0,0.01,500,3550.0
long_hidden01,4.0,0.01,400,3643.0
long_hidden01,3.0,0.01,300,3699.0
long_hidden01,2.0,0.01,200,3611.0
long_hidden01,1.0,0.01,100,3647.0
long_hint01,10000.0,10.0,1000,1256.0
long_hint01,10000.0,9.0,1111,1226.0
long_hint01,10000.0,8.0,1250,1213.0
long_hint01,10000.0,7.0,1428,1241.0
long_hint01,10000.0,6.0,1666,1198.0
long_hint01,10000.0,5.0,2000,1239.0
long_hint01,10000.0,4.0,2500,1208.0
long_hint01,10000.0,3.0,3333,1193.0
long_hint01,10000.0,2.0,5000,1197.0
long_hint01,10000.0,1.0,10000,1191.0
long_hint01,10000.0,10.0,1000,1230.0
long_hint01,9000.0,10.0,900,1271.0
long_hint01,8000.0,10.0,800,1209.0
long_hint01,7000.0,10.0,700,1260.0
long_hint01,6000.0,10.0,600,1219.0
long_hint01,5000.0,10.0,500,1258.0
long_hint01,4000.0,10.0,400,1239.0
long_hint01,3000.0,10.0,300,1275.0
long_hint01,2000.0,10.0,200,1264.0
long_hint01,1000.0,10.0,100,1241.0
long_hint01,5000.0,5.0,1000,1241.0
long_hint01,5000.0,4.5,1111,1225.0
long_hint01,5000.0,4.0,1250,1243.0
long_hint01,5000.0,3.5,1428,1199.0
long_hint01,5000.0,3.0,1666,1192.0
long_hint01,5000.0,2.5,2000,1252.0
long_hint01,5000.0,2.0,2500,1213.0
long_hint01,5000.0,1.5,3333,1213.0
long_hint01,5000.0,1.0,5000,1194.0
long_hint01,5000.0,0.5,10000,1187.0
long_hint01,5000.0,5.0,1000,1238.0
long_hint01,4500.0,5.0,900,1240.0
long_hint01,4000.0,5.0,800,1268.0
long_hint01,3500.0,5.0,700,1218.0
long_hint01,3000.0,5.0,600,1245.0
long_hint01,2500.0,5.0,500,1222.0
long_hint01,2000.0,5.0,400,1237.0
long_hint01,1500.0,5.0,300,1232.0
long_hint01,1000.0,5.0,200,1304.0
